text,label
sirens sounding across beach towns,Tsunami
clear skies and calm waters,Normal
waves breaching the sea wall,Flooding
tsunami warning issued for coastal region,Tsunami
families enjoying a sunny day at the beach,Normal
social media buzzing with tsunami reports,Tsunami
locals relaxing by the waterfront,Normal
families enjoying a sunny day at the beach,Normal
streets submerged after heavy rain,Flooding
families enjoying a sunny day at the beach,Normal
storm surge causing inland flooding,Flooding
ocean behaving erratically,Tsunami
residents evacuating due to tsunami alert,Tsunami
social media buzzing with tsunami reports,Tsunami
social media buzzing with tsunami reports,Tsunami
massive wave approaching the shore,Tsunami
lifeguards monitoring a quiet beach,Normal
storm surge causing inland flooding,Flooding
streets submerged after heavy rain,Flooding
children playing in the sand,Normal
social media buzzing with tsunami reports,Tsunami
children playing in the sand,Normal
families enjoying a sunny day at the beach,Normal
coastal road washed out,Flooding
normal tide levels observed,Normal
no unusual activity reported,Normal
floodwaters entering homes,Flooding
tourists taking photos by the shore,Normal
pleasant weather with gentle breeze,Normal
sirens sounding across beach towns,Tsunami
beach completely underwater,Flooding
tsunami signs spotted by fishermen,Tsunami
strong tremors followed by rising waves,Tsunami
routine fishing operations underway,Normal
children playing in the sand,Normal
normal tide levels observed,Normal
storm surge causing inland flooding,Flooding
streets submerged after heavy rain,Flooding
river overflowing into nearby areas,Flooding
no unusual activity reported,Normal
streets submerged after heavy rain,Flooding
beach completely underwater,Flooding
emergency services responding to flood alerts,Flooding
tourists taking photos by the shore,Normal
pleasant weather with gentle breeze,Normal
locals relaxing by the waterfront,Normal
sirens sounding across beach towns,Tsunami
flooding reported by multiple residents,Flooding
emergency services responding to flood alerts,Flooding
strong tremors followed by rising waves,Tsunami
tsunami warning issued for coastal region,Tsunami
streets submerged after heavy rain,Flooding
ocean behaving erratically,Tsunami
tsunami signs spotted by fishermen,Tsunami
giant wave spotted from the pier,Tsunami
water levels rising rapidly near the coast,Flooding
residents evacuating due to tsunami alert,Tsunami
tsunami signs spotted by fishermen,Tsunami
children playing in the sand,Normal
social media buzzing with tsunami reports,Tsunami
flooding reported by multiple residents,Flooding
water levels rising rapidly near the coast,Flooding
residents evacuating due to tsunami alert,Tsunami
social media buzzing with tsunami reports,Tsunami
lifeguards monitoring a quiet beach,Normal
locals relaxing by the waterfront,Normal
streets submerged after heavy rain,Flooding
floodwaters entering homes,Flooding
coastal road washed out,Flooding
emergency services responding to flood alerts,Flooding
streets submerged after heavy rain,Flooding
strong tremors followed by rising waves,Tsunami
massive wave approaching the shore,Tsunami
routine fishing operations underway,Normal
tsunami warning issued for coastal region,Tsunami
children playing in the sand,Normal
tourists taking photos by the shore,Normal
floodwaters entering homes,Flooding
tourists taking photos by the shore,Normal
strong tremors followed by rising waves,Tsunami
routine fishing operations underway,Normal
emergency services responding to flood alerts,Flooding
unusual retreat of ocean water observed,Tsunami
pleasant weather with gentle breeze,Normal
children playing in the sand,Normal
river overflowing into nearby areas,Flooding
storm surge causing inland flooding,Flooding
social media buzzing with tsunami reports,Tsunami
waves breaching the sea wall,Flooding
residents evacuating due to tsunami alert,Tsunami
families enjoying a sunny day at the beach,Normal
social media buzzing with tsunami reports,Tsunami
families enjoying a sunny day at the beach,Normal
tourists taking photos by the shore,Normal
beach completely underwater,Flooding
storm surge causing inland flooding,Flooding
emergency services responding to flood alerts,Flooding
social media buzzing with tsunami reports,Tsunami
giant wave spotted from the pier,Tsunami
massive wave approaching the shore,Tsunami
storm surge causing inland flooding,Flooding
water levels rising rapidly near the coast,Flooding
floodwaters entering homes,Flooding
lifeguards monitoring a quiet beach,Normal
pleasant weather with gentle breeze,Normal
tourists taking photos by the shore,Normal
families enjoying a sunny day at the beach,Normal
social media buzzing with tsunami reports,Tsunami
clear skies and calm waters,Normal
sirens sounding across beach towns,Tsunami
pleasant weather with gentle breeze,Normal
social media buzzing with tsunami reports,Tsunami
unusual retreat of ocean water observed,Tsunami
no unusual activity reported,Normal
waves breaching the sea wall,Flooding
clear skies and calm waters,Normal
giant wave spotted from the pier,Tsunami
tsunami signs spotted by fishermen,Tsunami
river overflowing into nearby areas,Flooding
floodwaters entering homes,Flooding
normal tide levels observed,Normal
residents evacuating due to tsunami alert,Tsunami
beach completely underwater,Flooding
river overflowing into nearby areas,Flooding
strong tremors followed by rising waves,Tsunami
no unusual activity reported,Normal
streets submerged after heavy rain,Flooding
storm surge causing inland flooding,Flooding
strong tremors followed by rising waves,Tsunami
flooding reported by multiple residents,Flooding
storm surge causing inland flooding,Flooding
families enjoying a sunny day at the beach,Normal
river overflowing into nearby areas,Flooding
coastal road washed out,Flooding
tsunami warning issued for coastal region,Tsunami
families enjoying a sunny day at the beach,Normal
ocean behaving erratically,Tsunami
families enjoying a sunny day at the beach,Normal
clear skies and calm waters,Normal
tourists taking photos by the shore,Normal
sirens sounding across beach towns,Tsunami
ocean behaving erratically,Tsunami
coastal road washed out,Flooding
routine fishing operations underway,Normal
beach completely underwater,Flooding
tsunami warning issued for coastal region,Tsunami
storm surge causing inland flooding,Flooding
locals relaxing by the waterfront,Normal
tourists taking photos by the shore,Normal
emergency services responding to flood alerts,Flooding
massive wave approaching the shore,Tsunami
lifeguards monitoring a quiet beach,Normal
emergency services responding to flood alerts,Flooding
clear skies and calm waters,Normal
social media buzzing with tsunami reports,Tsunami
tsunami signs spotted by fishermen,Tsunami
flooding reported by multiple residents,Flooding
giant wave spotted from the pier,Tsunami
clear skies and calm waters,Normal
clear skies and calm waters,Normal
pleasant weather with gentle breeze,Normal
emergency services responding to flood alerts,Flooding
tsunami signs spotted by fishermen,Tsunami
coastal road washed out,Flooding
residents evacuating due to tsunami alert,Tsunami
tourists taking photos by the shore,Normal
residents evacuating due to tsunami alert,Tsunami
lifeguards monitoring a quiet beach,Normal
emergency services responding to flood alerts,Flooding
coastal road washed out,Flooding
locals relaxing by the waterfront,Normal
residents evacuating due to tsunami alert,Tsunami
floodwaters entering homes,Flooding
flooding reported by multiple residents,Flooding
ocean behaving erratically,Tsunami
locals relaxing by the waterfront,Normal
locals relaxing by the waterfront,Normal
coastal road washed out,Flooding
floodwaters entering homes,Flooding
tsunami signs spotted by fishermen,Tsunami
sirens sounding across beach towns,Tsunami
tsunami warning issued for coastal region,Tsunami
sirens sounding across beach towns,Tsunami
coastal road washed out,Flooding
locals relaxing by the waterfront,Normal
coastal road washed out,Flooding
waves breaching the sea wall,Flooding
waves breaching the sea wall,Flooding
clear skies and calm waters,Normal
routine fishing operations underway,Normal
massive wave approaching the shore,Tsunami
unusual retreat of ocean water observed,Tsunami
sirens sounding across beach towns,Tsunami
sirens sounding across beach towns,Tsunami
streets submerged after heavy rain,Flooding
clear skies and calm waters,Normal
children playing in the sand,Normal
giant wave spotted from the pier,Tsunami
emergency services responding to flood alerts,Flooding
children playing in the sand,Normal
social media buzzing with tsunami reports,Tsunami
emergency services responding to flood alerts,Flooding
beach completely underwater,Flooding
normal tide levels observed,Normal
massive wave approaching the shore,Tsunami
water levels rising rapidly near the coast,Flooding
coastal road washed out,Flooding
giant wave spotted from the pier,Tsunami
storm surge causing inland flooding,Flooding
no unusual activity reported,Normal
pleasant weather with gentle breeze,Normal
pleasant weather with gentle breeze,Normal
coastal road washed out,Flooding
unusual retreat of ocean water observed,Tsunami
flooding reported by multiple residents,Flooding
strong tremors followed by rising waves,Tsunami
tsunami warning issued for coastal region,Tsunami
residents evacuating due to tsunami alert,Tsunami
locals relaxing by the waterfront,Normal
river overflowing into nearby areas,Flooding
social media buzzing with tsunami reports,Tsunami
floodwaters entering homes,Flooding
ocean behaving erratically,Tsunami
children playing in the sand,Normal
strong tremors followed by rising waves,Tsunami
beach completely underwater,Flooding
ocean behaving erratically,Tsunami
waves breaching the sea wall,Flooding
beach completely underwater,Flooding
beach completely underwater,Flooding
river overflowing into nearby areas,Flooding
children playing in the sand,Normal
unusual retreat of ocean water observed,Tsunami
clear skies and calm waters,Normal
routine fishing operations underway,Normal
strong tremors followed by rising waves,Tsunami
children playing in the sand,Normal
residents evacuating due to tsunami alert,Tsunami
floodwaters entering homes,Flooding
river overflowing into nearby areas,Flooding
residents evacuating due to tsunami alert,Tsunami
strong tremors followed by rising waves,Tsunami
tsunami warning issued for coastal region,Tsunami
clear skies and calm waters,Normal
families enjoying a sunny day at the beach,Normal
sirens sounding across beach towns,Tsunami
routine fishing operations underway,Normal
strong tremors followed by rising waves,Tsunami
clear skies and calm waters,Normal
pleasant weather with gentle breeze,Normal
massive wave approaching the shore,Tsunami
tsunami warning issued for coastal region,Tsunami
water levels rising rapidly near the coast,Flooding
residents evacuating due to tsunami alert,Tsunami
social media buzzing with tsunami reports,Tsunami
coastal road washed out,Flooding
waves breaching the sea wall,Flooding
emergency services responding to flood alerts,Flooding
tsunami warning issued for coastal region,Tsunami
emergency services responding to flood alerts,Flooding
river overflowing into nearby areas,Flooding
tsunami signs spotted by fishermen,Tsunami
coastal road washed out,Flooding
normal tide levels observed,Normal
unusual retreat of ocean water observed,Tsunami
lifeguards monitoring a quiet beach,Normal
coastal road washed out,Flooding
